time,replicate,stress,dose,units,strain,OD_value
18.66666667,rep2,Cd,0,mM,MC1061,0.548
18.66666667,rep3,Cd,0,mM,MC1061,0.566
19,rep1,Cd,0,mM,MC1061,0.565
19,rep2,Cd,0,mM,MC1061,0.548
19,rep3,Cd,0,mM,MC1061,0.566
19.33333333,rep1,Cd,0,mM,MC1061,0.564
19.33333333,rep2,Cd,0,mM,MC1061,0.545
19.33333333,rep3,Cd,0,mM,MC1061,0.565
19.66666667,rep1,Cd,0,mM,MC1061,0.562
19.66666667,rep2,Cd,0,mM,MC1061,0.543
19.66666667,rep3,Cd,0,mM,MC1061,0.564
20,rep1,Cd,0,mM,MC1061,0.561
20,rep2,Cd,0,mM,MC1061,0.543
20,rep3,Cd,0,mM,MC1061,0.563
0,rep1,AMP,0,ug/mL,MC-SCFP3A,0.082
0,rep2,AMP,0,ug/mL,MC-SCFP3A,0.084
0,rep3,AMP,0,ug/mL,MC-SCFP3A,0.086
0.3333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.081
0.3333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.083
0.3333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.084
0.6666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.083
0.6666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.088
0.6666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.09
1,rep1,AMP,0,ug/mL,MC-SCFP3A,0.087
1,rep2,AMP,0,ug/mL,MC-SCFP3A,0.093
1,rep3,AMP,0,ug/mL,MC-SCFP3A,0.094
1.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.094
1.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.105
1.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.111
1.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.117
1.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.139
1.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.151
2,rep1,AMP,0,ug/mL,MC-SCFP3A,0.148
2,rep2,AMP,0,ug/mL,MC-SCFP3A,0.21
2,rep3,AMP,0,ug/mL,MC-SCFP3A,0.236
2.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.235
2.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.27
2.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.339
2.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.279
2.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.402
2.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.486
3,rep1,AMP,0,ug/mL,MC-SCFP3A,0.451
3,rep2,AMP,0,ug/mL,MC-SCFP3A,0.508
3,rep3,AMP,0,ug/mL,MC-SCFP3A,0.575
3.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.564
3.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.603
3.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.623
3.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.623
3.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.633
3.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.642
4,rep1,AMP,0,ug/mL,MC-SCFP3A,0.656
4,rep2,AMP,0,ug/mL,MC-SCFP3A,0.641
4,rep3,AMP,0,ug/mL,MC-SCFP3A,0.644
4.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.658
4.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.634
4.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.65
4.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.658
4.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.646
4.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.51
5,rep1,AMP,0,ug/mL,MC-SCFP3A,0.546
5,rep2,AMP,0,ug/mL,MC-SCFP3A,0.584
5,rep3,AMP,0,ug/mL,MC-SCFP3A,0.547
5.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.542
5.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.627
5.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.583
5.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.573
5.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.574
5.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.596
6,rep1,AMP,0,ug/mL,MC-SCFP3A,0.594
6,rep2,AMP,0,ug/mL,MC-SCFP3A,0.585
6,rep3,AMP,0,ug/mL,MC-SCFP3A,0.603
6.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.605
6.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.582
6.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.603
6.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.623
6.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.584
6.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.603
7,rep1,AMP,0,ug/mL,MC-SCFP3A,0.63
7,rep2,AMP,0,ug/mL,MC-SCFP3A,0.582
7,rep3,AMP,0,ug/mL,MC-SCFP3A,0.608
7.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.639
7.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.582
7.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.616
7.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.649
7.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.578
7.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.62
8,rep1,AMP,0,ug/mL,MC-SCFP3A,0.654
8,rep2,AMP,0,ug/mL,MC-SCFP3A,0.572
8,rep3,AMP,0,ug/mL,MC-SCFP3A,0.621
8.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.662
8.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.565
8.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.621
8.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.665
8.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.559
8.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.62
9,rep1,AMP,0,ug/mL,MC-SCFP3A,0.663
9,rep2,AMP,0,ug/mL,MC-SCFP3A,0.553
9,rep3,AMP,0,ug/mL,MC-SCFP3A,0.617
9.333333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.664
9.333333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.549
9.333333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.61
9.666666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.667
9.666666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.546
9.666666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.605
10,rep1,AMP,0,ug/mL,MC-SCFP3A,0.66
10,rep2,AMP,0,ug/mL,MC-SCFP3A,0.543
10,rep3,AMP,0,ug/mL,MC-SCFP3A,0.599
10.33333333,rep1,AMP,0,ug/mL,MC-SCFP3A,0.661
10.33333333,rep2,AMP,0,ug/mL,MC-SCFP3A,0.541
10.33333333,rep3,AMP,0,ug/mL,MC-SCFP3A,0.593
10.66666667,rep1,AMP,0,ug/mL,MC-SCFP3A,0.656
10.66666667,rep2,AMP,0,ug/mL,MC-SCFP3A,0.54
10.66666667,rep3,AMP,0,ug/mL,MC-SCFP3A,0.588
11,rep1,AMP,0,ug/mL,MC-SCFP3A,0.652
11,rep2,AMP,0,ug/mL,MC-SCFP3A,0.539
11,rep3,AMP,0,ug/mL,MC-SCFP3A,0.582
